"","state","date","confirmed","deaths","active","people_tested","negative","positive","totaltestresults","mortality_rate","incident_rate"
"1","AK",2020-04-12,272,8,264,8038,7766,272,8038,0.0294117647058824,0.0338392634983827
"2","AK",2020-04-13,277,8,269,7830,7553,277,7830,0.0288808664259928,0.0353767560664112
"3","AK",2020-04-14,285,9,276,8348,8063,285,8348,0.0315789473684211,0.0341399137517968
"4","AK",2020-04-15,293,9,284,8664,8371,293,8664,0.0307167235494881,0.0338180978762696
"5","AK",2020-04-16,300,9,291,8735,8435,300,8735,0.03,0.0343445907269605
"6","AK",2020-04-17,309,9,300,9450,9141,309,9450,0.029126213592233,0.0326984126984127
"7","AK",2020-04-18,314,9,305,9655,9341,314,9655,0.0286624203821656,0.032522009321595
"8","AK",2020-04-19,319,9,310,9895,9576,319,9895,0.0282131661442006,0.0322385042950985
"9","AK",2020-04-20,321,9,312,10124,9803,321,10124,0.0280373831775701,0.031706835242987
"10","AK",2020-04-21,329,9,320,11119,10790,329,11119,0.027355623100304,0.0295889918158108
"11","AK",2020-04-22,335,9,326,12159,11824,335,12159,0.026865671641791,0.0275516078624887
"12","AK",2020-04-24,337,9,328,12161,11942,339,12281,0.0267062314540059,0.0277115368801908
"13","AK",2020-04-25,339,9,330,12281,15393,339,15732,0.0265486725663717,0.0276036153407703
"14","AK",2020-04-26,339,9,330,15732,15836,341,16177,0.0265486725663717,0.0215484363081617
"15","AK",2020-04-27,340,9,331,16177,15911,345,16256,0.0264705882352941,0.0210174939729245
"16","AK",2020-04-28,345,9,336,16256,16738,351,17089,0.0260869565217391,0.0212229330708661
"17","AK",2020-04-29,351,9,342,17089,18764,355,19119,0.0256410256410256,0.0205395283515712
"18","AK",2020-04-30,355,9,346,19119,18764,355,19119,0.0253521126760563,0.0185679167320467
"19","AK",2020-05-01,355,9,94,19119,19961,364,20325,0.0253521126760563,0.0185679167320467
"20","AK",2020-05-02,364,9,101,20325,21034,365,21399,0.0247252747252747,0.0179089790897909
"21","AK",2020-05-03,365,9,95,21399,21210,368,21578,0.0246575342465753,0.01705687181644
"22","AK",2020-05-04,368,9,97,21578,21353,370,21723,0.0244565217391304,0.0170544072666605
"23","AK",2020-05-05,370,9,98,21723,22321,371,22692,0.0243243243243243,0.0170326382175574
"24","AK",2020-05-06,371,9,85,22692,23283,372,23655,0.0242587601078167,0.0163493742288031
"25","AK",2020-05-07,372,10,78,23655,23967,374,24341,0.0268817204301075,0.0157260621433101
"26","AK",2020-05-08,374,10,73,24341,25096,377,25473,0.0267379679144385,0.0153650219793764
"27","AK",2020-05-09,377,10,62,25473,26071,378,26449,0.026525198938992,0.0147999842970989
"28","AK",2020-05-10,378,10,50,26449,26985,379,27364,0.0264550264550265,0.0142916556391546
"29","AK",2020-05-11,379,10,45,27364,28299,381,28680,0.0263852242744063,0.0138503142815378
"30","AK",2020-05-12,379,10,41,28680,29578,383,29961,0.0263852242744063,0.0132147838214784
"31","AK",2020-05-13,383,10,39,29961,30266,383,30649,0.0261096605744125,0.0127832849370849
"32","AK",2020-05-14,383,10,35,30649,31375,387,31762,0.0261096605744125,0.0124963294071585
"33","AK",2020-05-15,383,10,34,31762,32030,388,32418,0.0261096605744125,0.0120584346073925
"34","AK",2020-05-16,388,10,35,32418,32889,392,33281,0.0257731958762887,0.0119686593867604
"35","AK",2020-05-17,388,10,34,33281,34255,396,34651,0.0257731958762887,0.0116583035365524
"36","AK",2020-05-18,388,10,34,34651,35212,399,35611,0.0257731958762887,0.0111973680413264
"37","AK",2020-05-19,388,10,33,35611,35981,399,36380,0.0257731958762887,0.0108955098143832
"38","AK",2020-05-20,400,10,42,36380,36643,402,37045,0.025,0.0109950522264981
"39","AK",2020-05-21,401,10,39,37045,39143,402,39545,0.0249376558603491,0.0108246726953705
"40","AK",2020-05-22,401,10,35,39545,41042,404,41446,0.0249376558603491,0.0101403464407637
"41","AK",2020-05-23,403,10,37,41446,41943,408,42351,0.0248138957816377,0.00972349563287169
"42","AK",2020-05-24,407,10,39,42351,43099,408,43507,0.0245700245700246,0.00961016268801209
"43","AK",2020-05-25,407,10,39,43507,44063,409,44472,0.0245700245700246,0.00935481646631577
"44","AK",2020-05-26,408,10,37,44472,44553,411,44964,0.0245098039215686,0.00917431192660551
"45","AK",2020-05-27,410,10,38,44964,45951,412,46363,0.024390243902439,0.00911840583577973
