"","state","confirmed","deaths","active","people_tested","negative","positive","totaltestresults","mortality_rate","incident_rate","density","pop","landarea","num_hospitals","num_beds","state_population","hospitals_per_100k","beds_per_100k","state_area_sqmiles","hospitals_per_1000sqmile","beds_per_1000sqmile","num_colleges","avg_cost","vote_diff","pct_diff","party","republican","never","rarely","sometimes","frequently","always","population","pct_never","pct_rarely","pct_sometimes","pct_frequently","pct_always","status.of.reopening","stay.at.home.order","mandatory.quarantine.for.travelers","non.essential.business.closures","large.gatherings.ban","restaurant.limits","bar.closures","face.covering.requirement","emergency.declaration","start.of.stay.at.home","end.of.stay.at.home","masks.required.","travel.restrictions","had.stay.at.home","ongoing.stay.at.home","region","duration","log_confirmed","log_deaths","log_active","log_people_tested","log_negative","log_positive","log_totaltestresults","log_density","log_num_hospitals","log_num_beds","log_hospitals_per_100k","log_beds_per_100k","log_state_area_sqmiles","log_hospitals_per_1000sqmile","log_beds_per_1000sqmile","log_num_colleges","log_never","log_rarely","log_sometimes","log_frequently","log_always","log_population","confirmed_per_100k","deaths_per_100k","active_per_100k","people_tested_per_100k","negative_per_100k","positive_per_100k","totaltestresults_per_100k","num_colleges_per_100k","never_per_100k","rarely_per_100k","sometimes_per_100k","frequently_per_100k","always_per_100k"
"1","AK",12485,68,5478,552746,545905,14064,559969,0.00544653584301161,0.0225872281300995,1.2863,734002,570641,24,1559,734002,3.27,212.4,570641,0.04,2.73,9,13226.89,-46933,-14.73,"R","1",37024,41253,53887,167323,408338,707929,5.23,5.83,7.61,23.64,57.68,"reopened","lifted","All Travelers","all reopen","normal","reopened","reopened","employees","Yes","28-Mar","24-Apr","0","1","1","0","west","27",9.43228320271387,4.21950770517611,8.60849534982302,13.222653862149,13.2102002469146,9.55137361992496,13.2356367040362,0.251769880102533,3.17805383034795,7.35179986905778,1.18478998490916,5.35847128936778,13.2545155693687,-3.2188758248682,1.00430160919687,2.19722457733622,10.5193216299934,10.6274791163911,10.8946445404227,12.0276813551109,12.919850541799,13.4700990851614,1763.59,9.61,773.81,78079.3,77112.96,1986.64,79099.6,1.27,5229.9,5827.28,7611.92,23635.56,57680.64
"2","AL",183276,2866,105971,1295868,1144785,184355,1302666,0.0156376175822257,0.141431071683227,96.9221,4908620,50645,97,17129,4908620,1.98,348.96,50645,1.92,338.22,75,14148.67,-588708,-27.72,"R","1",355450,350521,636585,1067873,2492144,4903185,7.25,7.15,12.98,21.78,50.83,"paused","lifted","-","all restricted reopen","normal","reopened","reopened","public","Yes","4-Apr","30-Apr","1","0","1","0","south","26",12.1187484923584,7.96067260838812,11.5709207507574,14.0746912988553,13.9507274044132,12.1246185256162,14.0799234917058,4.57390756306811,4.57471097850338,9.74852821249799,0.683096844706444,5.85495730245332,10.8325957881209,0.65232518603969,5.82369657132154,4.31748811353631,12.7811398713576,12.76717589807,13.3638732308758,13.8811793775738,14.7286539421317,15.4053955519224,3737.9,58.45,2161.27,26429.11,23347.78,3759.9,26567.75,1.53,7249.37,7148.84,12983.09,21779.17,50827.04
"3","AR",105318,1797,9544,1280018,1189120,106115,1288000,0.017062610379992,0.0822785304581654,58.403,3039000,52035,87,10362,3039000,2.86,340.97,52035,1.67,199.14,79,12668.89,-304378,-26.92,"R","1",219009,214066,380803,664247,1531026,3008818,7.28,7.11,12.66,22.08,50.88,"paused","no data","Lifted","no data","normal","restricted","reopened","no data","no data",NA,NA,"1","0","0","0","south","no data",11.5647396236844,7.49387388678356,9.16366796377775,14.0623846982969,13.9887240957275,11.5722786906697,14.0686011856464,4.06736725837781,4.46590811865458,9.24590054737473,1.05082162483176,5.83179449687376,10.859671848072,0.512823626428664,5.29400809495994,4.36944785246702,12.2968681038446,12.27403965767,12.8500374600196,13.40640934724,14.2414486568601,14.9170578685718,3500.31,59.72,317.2,42542.22,39521.17,3526.8,42807.51,2.63,7278.9,7114.62,12656.23,22076.68,50884.63
"4","AZ",236772,5869,191378,1693549,1473706,238163,1706407,0.0247875593397868,0.139808177974183,64.9549,7378490,113594,95,12868,7378490,1.29,174.4,113594,0.84,113.28,98,16462.36,-91234,-3.54,"R","1",199304,239815,492316,1102066,5240291,7278717,2.74,3.29,6.76,15.14,71.99,"restricted","lifted","Lifted","new closures","new limits","new limits","closed","employees","Yes","31-Mar","15-May","0","0","1","0","west","45",12.3748529317575,8.67743954055833,12.1620058088659,14.3423368849814,14.203290874578,12.3807105921841,14.3499005483343,4.17369318291915,4.55387689160054,9.46249888835892,0.254642218373581,5.16135151147488,11.6403859669729,-0.174353387144778,4.72986262994541,4.58496747867057,12.2025865762453,12.387623071746,13.106876065726,13.9126971580087,15.4718875891064,15.8004651683777,3252.94,80.63,2629.28,23267.14,20246.78,3272.05,23443.79,1.35,2738.17,3294.74,6763.77,15140.94,71994.71
"5","CA",903684,17343,886341,17609179,16889856,898029,17787885,0.0191914430265447,0.0513189172533257,256.3728,39937500,155779,446,86351,39937500,1.12,216.22,155779,2.86,554.32,535,17544.84,4269978,30.11,"D","0",897069,727668,2019458,5587194,30280957,39512223,2.27,1.84,5.11,14.14,76.64,"reopened","statewide","-","new closures","all banned","restricted","closed","public","no data","19-Mar",NA,"1","0","1","1","west","no data",13.7142350207427,9.76094424575059,13.694857031388,16.6839308581477,16.6422237629928,13.7079576407495,16.6940281655592,5.54663263517581,6.10031895202006,11.3661756642837,0.113328685307003,5.37629640786463,11.9561936151441,1.05082162483176,6.31774213731913,6.28226674689601,13.7068880611594,13.4976001792031,14.5183397165423,15.5359877513036,17.2260295910539,17.4921206250417,2287.1,43.89,2243.21,44566.41,42745.9,2272.79,45018.69,1.35,2270.36,1841.63,5110.97,14140.42,76636.94
"6","CO",93377,2218,83696,1790404,1050755,93400,1818196,0.0237531726228086,0.0521541506833095,56.4012,5845530,103642,89,10484,5845530,1.52,179.35,103642,0.86,101.16,85,17505.24,136386,4.91,"D","0",155284,247009,432861,1204676,3720227,5758736,2.7,4.29,7.52,20.92,64.6,"restricted","lifted","-","some restricted reopen","above 25 banned","restricted","closed","public","Yes","26-Mar","26-Apr","1","0","1","0","west","31",11.4444003412151,7.70436116791031,11.3349464656104,14.3979518506749,13.8650195113619,11.4446466242169,14.4133553586895,4.03249043487341,4.48863636973214,9.2576055644433,0.418710334858185,5.18933920397829,11.5486979320584,-0.150822889734584,4.61670342180176,4.44265125649032,11.9530109774287,12.4171800521933,12.9781719392816,14.0017212090842,15.129295245893,15.5662285641462,1621.48,38.52,1453.37,31090.23,18246.28,1621.88,31572.83,1.48,2696.49,4289.29,7516.6,20919.1,64601.45
"7","CT",66052,4577,51675,2115744,2049692,66052,2115744,0.06929388966269,0.0312192779466703,735.8695,3563080,4842,29,8639,3563080,0.81,242.46,4842,5.99,1784.18,68,16950.19,224357,13.64,"D","0",72463,72297,203734,436040,2780838,3565287,2.03,2.03,5.71,12.23,78,"reopened","lifted","From Certain States (New)","all restricted reopen","above 25 banned","restricted","closed","public","Yes","23-Mar","20-May","1","1","1","0","northeast","58",11.0981975895829,8.42879904065364,10.85272938455,14.5649170816545,14.5332000959244,11.0981975895829,14.5649170816545,6.60105279322503,3.36729582998647,9.06404211435888,-0.210721031315653,5.49083674831844,8.485083137498,1.79009141212736,7.4867142049112,4.21950770517611,11.1908313657449,11.18853791351,12.2245705004123,12.9854892612423,14.8382628790922,15.086755113499,1852.64,128.38,1449.39,59342.88,57490.24,1852.64,59342.88,1.91,2032.46,2027.8,5714.38,12230.15,77997.59
"8","DE",23847,680,10557,337276,315380,23961,339341,0.0285151172055185,0.0707047047521911,504.3073,982895,1949,9,2418,982895,0.92,246.01,1949,4.62,1240.64,14,18010,50476,11.43,"D","0",20957,8583,50270,107659,786294,973764,2.15,0.88,5.16,11.06,80.75,"restricted","lifted","Lifted","some restricted reopen","normal","restricted","new limits","public","Yes","24-Mar","31-May","1","0","1","0","south","68",10.0794137022412,6.52209279817015,9.26454442598969,12.7286568652422,12.6615335399596,10.0841827875855,12.7347607804895,6.22318580448852,2.19722457733622,7.79069603117474,-0.083381608939051,5.50537218551266,7.57507169950756,1.53039470509365,7.12338265448256,2.63905732961526,9.95022799841994,9.05753878171822,10.8251637566866,11.586724103571,13.5750860472752,13.7889242534707,2448.95,69.83,1084.14,34636.32,32387.72,2460.66,34848.38,1.44,2152.16,881.43,5162.44,11055.96,80747.9
"9","FL",776251,16417,759834,5938061,5174087,778636,5952723,0.0211490870865223,0.130724659110103,410.1259,21993000,53625,233,59779,21993000,1.06,271.81,53625,4.34,1114.76,303,17527.98,-112911,-1.2,"R","1",828245,806805,1612764,3504171,14722954,21477737,3.86,3.76,7.51,16.32,68.55,"reopened","lifted","Lifted","all reopen","normal","reopened","reopened","employees","Yes","3-Apr","30-Apr","0","0","1","0","south","27",13.5622312004738,9.70607266229452,13.5408552673525,15.5968932070722,15.4591734564302,13.5652989499249,15.5993593198922,6.01646418573177,5.4510384535657,10.9984097076953,0.0582689081239758,5.60510329279889,10.8897706562303,1.46787434811231,7.01639441408857,5.71373280550937,13.6270642833193,13.6008372823657,14.2934600351815,15.0694645312175,16.5049183304794,16.8825274682373,3614.21,76.44,3537.77,27647.52,24090.47,3625.32,27715.78,1.41,3856.3,3756.47,7509,16315.36,68549.84
"10","GA",349605,7808,341797,3426110,3094109,350923,3445032,0.0223337766908368,0.102041382208978,186.6726,10736100,57513,161,25591,10736100,1.5,238.36,57513,2.8,444.96,135,15618.33,-211141,-5.13000000000001,"R","1",683091,665179,1202886,2072240,5994808,10617423,6.43,6.26,11.33,19.52,56.46,"reopened","high risk","-","all reopen","normal","reopened","reopened","employees","Yes","3-Apr","30-Apr","0","0","1","0","south","27",12.7645592247207,8.96290412809293,12.7419722725625,15.0469360647647,14.945010538971,12.7683221051628,15.0524437512111,5.22935628027022,5.08140436498446,10.1499960061551,0.405465108108164,5.47378213587878,10.9597662881882,1.02961941718116,6.09798439048565,4.90527477843843,13.4343833654026,13.4078114563498,14.0002342273742,14.5441407057696,15.606404319242,16.1780068889653,3292.75,73.54,3219.21,32268.75,29141.81,3305.16,32446.97,1.27,6433.68,6264.98,11329.36,19517.35,56461.99
